workload1,workload2,"(LS10, BE90)","(LS20, BE80)","(LS30, BE70)","(LS40, BE60)","(LS50, BE50)","(LS60, BE40)","(LS70, BE30)","(LS80, BE20)","(LS90, BE10)","(LS100, BE100)"
bert-base-cased_batch16-inf,whisper-large-v2_batch16-inf,"(None, None)","(None, None)","(None, None)","(42.77651933582921, 2.2795419299794153)","(54.10371691230436, 2.080038134032457)","(64.66900886772918, 1.6652228613059143)","(None, None)","(90.8092719381222, 0.7405093315746236)","(98.74158715459792, 0.39393989133824664)","(44.98309517926342, 2.5192039047660524)"
bert-base-cased_batch16-inf,whisper-large-v2_batch2-inf,"(None, None)","(22.74119501400676, 2.165686154120943)","(34.013800211870475, 2.2769240399361523)","(None, None)","(55.19558825521998, 1.7080171153880017)","(None, None)","(None, None)","(91.07825970238495, 0.7448167367977753)","(98.5922469561427, 0.3606527815345776)","(78.59882638810276, 1.1662570544329145)"
bert-base-cased_batch16-inf,bert-base-cased_batch16-inf,"(None, None)","(None, None)","(31.927174379102215, 75.7863318571869)","(42.309860667400464, 63.34485797573046)","(52.63738932679782, 52.618538123662574)","(63.27596615715748, 42.169870926978966)","(None, None)","(90.53968636185775, 20.85583936718241)","(98.22668202006909, 10.430176146461632)","(None, None)"
bert-base-cased_batch16-inf,bert-base-cased_batch8-inf,"(10.708608717476785, 93.8190288766617)","(21.352313167259783, 83.99554133256625)","(None, None)","(43.22863897331983, 64.43960166616094)","(53.65970513295151, 51.50252441739974)","(64.32131553097828, 43.401519796369584)","(None, None)","(90.81498861362225, 20.882873540612543)","(98.46788576831338, 10.404140277740662)","(73.21560549117041, 38.675496688741724)"
bert-base-cased_batch16-inf,vit-base-patch16-224_batch8-inf,"(None, None)","(24.96915148435799, 77.19506956148177)","(None, None)","(48.04396476020509, 68.28811973807296)","(58.57101472176135, 64.40762083321846)","(68.15995602583483, 56.377458670206344)","(79.28923988153998, 49.20795416245365)","(93.30521876647337, 40.70892076050398)","(99.27689778698416, 23.281077148466697)","(96.56971277789573, 37.356873280880194)"
bert-base-cased_batch16-inf,vit-base-patch16-224_batch2-inf,"(None, None)","(25.559105431309902, 67.13415335095988)","(38.22937625754527, 63.56116673922507)","(49.73577867578489, 60.94761010227509)","(None, None)","(70.48458149779735, 49.449618966977134)","(81.38134118591888, 42.93801926328946)","(94.62832338578404, 35.57721596101127)","(100.55156276115662, 21.34736996015645)","(101.79350460494425, 19.14503015997902)"
bert-base-cased_batch16-inf,vit-base-patch16-224_batch16-inf,"(12.514068789225693, 82.72247600835723)","(24.68945297430754, 79.43686877274118)","(36.381436624611155, 75.21290467987829)","(47.51038558305541, 70.30638656473846)","(None, None)","(68.54381748216042, 60.779518134984656)","(79.26905586382411, 51.04393143156814)","(92.26952753749255, 39.39956147748356)","(99.24685626500612, 23.50396176581562)","(92.3041804579931, 50.87828198677949)"
bert-base-cased_batch16-inf,wav2vec2-base-960h_batch8-inf,"(None, None)","(None, None)","(33.954983922829584, 48.26771163774336)","(44.735486719152384, 43.01552106430155)","(55.42194188561661, 35.87554514493535)","(None, None)","(77.41103107192775, 21.546378394387574)","(91.34101874700747, 14.772229731015972)","(98.34542777428248, 7.641598277949684)","(67.64831412718736, 31.865965834428383)"
bert-base-cased_batch16-inf,bert-base-cased_batch2-inf,"(None, None)","(None, None)","(34.649341995668834, 64.64467566969226)","(44.96908375491849, 56.386984648064114)","(55.422680412371136, 46.29409433214427)","(65.72107053462551, 37.34015345268542)","(None, None)","(92.00151499500741, 20.903429021404538)","(99.51549900249795, 10.240942727878512)","(95.44626593806922, 13.794080827644848)"
bert-base-cased_batch8-inf,whisper-large-v2_batch16-inf,"(10.800370642245996, 3.6566603287695765)","(21.32746509736963, 3.296772209165863)","(None, None)","(44.14198355737661, 2.3085632419017807)","(52.732661195118595, 1.9326783701079078)","(65.20502938017312, 1.5782617651581308)","(72.03945705627059, 1.2102620133212867)","(82.25774533301085, 0.7496368946291639)","(93.13007029565249, 0.3936983655366293)","(25.294117647058822, 3.4226437284200055)"
